,Father,Son
0,165.1,151.892
1,165.1,160.78199999999998
2,167.132,159.512
3,155.19400000000002,163.322
4,160.02,163.068
5,164.33800000000002,162.56
6,167.89399999999998,164.08399999999997
7,170.18,162.56
8,149.86,165.608
9,159.766,166.116
10,161.798,166.87800000000001
11,162.814,166.116
12,164.33800000000002,165.862
13,168.656,165.1
14,166.624,166.37
15,171.19600000000003,165.35399999999998
16,172.212,165.35399999999998
17,158.75,169.164
18,162.052,168.656
19,163.83,167.89399999999998
20,165.1,167.64000000000001
21,166.87800000000001,168.91
22,166.37,166.87800000000001
23,169.92600000000002,167.38600000000002
24,169.164,167.38600000000002
25,168.91,168.91
26,173.482,168.402
27,171.958,167.89399999999998
28,173.99,168.402
29,182.37199999999999,168.656
30,163.83,170.18
31,165.1,169.672
32,166.87800000000001,176.022
33,168.91,156.71800000000002
34,164.846,166.87800000000001
35,176.784,175.26
36,164.59199999999998,171.19600000000003
37,165.862,170.68800000000002
38,166.624,171.70399999999998
39,167.38600000000002,171.45
40,167.132,169.92600000000002
41,170.434,171.70399999999998
42,169.164,170.68800000000002
43,171.19600000000003,169.672
44,170.942,170.68800000000002
45,173.482,171.45
46,172.974,171.19600000000003
47,175.26,171.70399999999998
48,175.00600000000003,170.942
49,176.784,169.672
50,178.81600000000003,169.418
51,177.8,169.92600000000002
52,184.912,171.70399999999998
53,159.512,172.72
54,159.766,173.99
55,162.306,172.72
56,163.83,173.482
57,163.83,173.482
58,167.64000000000001,173.482
59,167.132,173.228
60,167.64000000000001,173.99
61,166.37,172.974
62,166.87800000000001,173.482
63,169.672,172.72
64,169.418,174.244
65,170.18,172.466
66,169.672,173.73600000000002
67,171.70399999999998,173.228
68,173.73600000000002,172.466
69,171.958,174.244
70,176.022,173.482
71,174.49800000000002,172.466
72,176.022,173.228
73,174.244,174.244
74,179.832,174.244
75,182.11800000000002,172.466
76,160.02,174.75199999999998
77,161.798,176.784
78,166.116,177.038
79,167.132,175.768
80,168.91,176.022
81,169.164,176.53
82,171.958,176.022
83,172.212,175.768
84,171.70399999999998,176.53
85,172.974,175.51399999999998
86,174.49800000000002,176.53
87,174.244,176.022
88,174.244,174.49800000000002
89,177.8,175.00600000000003
90,178.054,176.022
91,178.30800000000002,175.768
92,181.102,176.784
93,180.086,175.51399999999998
94,183.388,175.51399999999998
95,164.846,177.54600000000002
96,166.624,178.054
97,166.87800000000001,177.54600000000002
98,167.38600000000002,179.07
99,171.19600000000003,179.07
100,171.45,177.292
101,171.70399999999998,178.81600000000003
102,173.99,177.8
103,173.99,177.292
104,176.53,178.30800000000002
105,175.51399999999998,178.054
106,176.276,177.8
107,176.276,178.56199999999998
108,176.53,177.292
109,180.086,178.054
110,181.102,177.8
111,183.388,177.8
112,163.83,181.102
113,168.656,179.832
114,169.672,180.848
115,169.92600000000002,182.11800000000002
116,173.228,181.35600000000002
