,user_id,movie_id,rating
0,624,608,4.0
1,461,1210,4.5
2,119,1221,4.0
3,243,4306,3.5
4,165,780,4.0
5,242,47,4.0
6,514,780,3.0
7,353,4963,3.5
8,128,2028,3.0
9,402,356,5.0
10,15,541,5.0
11,472,32,3.0
12,615,736,3.0
13,243,500,3.5
14,313,2997,2.0
15,268,1089,3.0
16,353,1682,3.0
17,242,1198,5.0
18,461,587,3.0
19,15,597,2.5
20,648,364,2.0
21,285,1,4.0
22,518,1240,4.0
23,574,648,3.0
24,457,1617,3.5
25,624,2997,4.0
26,480,593,4.5
27,468,3114,4.0
28,105,593,4.0
29,285,736,2.0
30,102,608,5.0
31,195,457,4.0
32,505,590,3.0
33,73,780,3.5
34,313,7153,5.0
35,199,2959,5.0
36,23,608,4.5
37,574,3114,3.5
38,472,4886,5.0
39,407,3578,3.0
40,587,50,4.5
41,23,1221,4.5
42,430,8961,5.0
43,472,527,3.0
44,402,539,4.5
45,402,1270,5.0
46,481,2959,4.5
47,15,1923,4.5
48,585,296,5.0
49,574,480,3.5
50,358,2628,3.0
51,544,110,4.0
52,624,4226,4.0
53,514,1213,5.0
54,73,924,1.5
55,358,500,4.0
56,105,780,2.5
57,654,3793,4.0
58,529,1193,2.0
59,654,1200,5.0
60,577,1291,5.0
61,596,6539,4.5
62,380,1193,3.0
63,212,34,3.0
64,461,380,2.5
65,587,1089,4.0
66,457,1265,3.5
67,247,1,4.0
68,423,110,3.5
69,23,2716,3.0
70,353,2959,4.0
71,128,4306,5.0
72,247,296,3.0
73,654,1240,4.5
74,77,589,4.0
75,355,4993,4.5
76,134,1136,5.0
77,77,1,4.0
78,472,2571,5.0
79,312,541,5.0
80,312,344,1.0
81,564,2997,4.0
82,615,1291,4.0
83,195,110,3.0
84,306,296,4.0
85,664,110,4.0
86,15,2858,4.0
87,313,586,3.0
88,574,4306,3.0
89,654,1580,4.5
90,313,2396,3.0
91,346,4993,4.0
92,598,3793,3.0
93,119,1732,4.0
94,608,356,3.0
95,460,1,4.5
96,607,377,3.5
97,475,3793,3.5
98,624,367,3.0
99,388,1089,4.0
100,128,1197,3.0
101,564,1214,5.0
102,242,1704,5.0
103,56,593,5.0
104,472,1089,5.0
105,105,380,3.5
106,564,2396,3.0
107,431,377,2.0
108,294,4963,4.0
109,23,1682,5.0
110,176,39,1.0
111,423,1196,4.0
112,607,316,3.5
113,514,480,4.0
114,547,924,5.0
115,313,110,5.0
116,468,1,4.0
117,23,2858,3.5
118,119,2716,4.0
119,56,1136,4.0
120,88,593,2.0
121,544,1270,4.5
122,150,1732,3.0
123,529,1,4.0
124,472,589,2.0
125,119,1291,3.0
126,577,357,4.5
127,423,1193,5.0
128,384,589,5.0
129,529,1200,2.0
130,577,2396,4.5
131,294,1,4.0
132,382,1704,3.0
133,165,367,3.5
134,472,357,5.0
135,213,736,4.0
136,78,2959,5.0
137,574,6377,4.0
138,30,1097,4.0
139,468,1221,4.0
140,306,595,4.0
141,607,1036,4.0
142,176,296,4.0
143,547,1206,3.0
144,292,4886,4.5
145,587,608,4.0
146,102,260,5.0
147,242,1097,5.0
148,73,150,3.5
149,78,150,3.5
150,537,457,4.0
